Dc_Dist,Dispatch_Date,UCR_General
18,02-10-09,800
25,07-08-09,800
22,19-01-09,400
1,09-02-09,800
6,09-05-10,300
24,07-12-09,300
17,06-10-09,800
3,31-07-10,2400
3,21-08-10,2400
3,01-02-10,2100
6,25-10-10,2100
6,06-03-10,2100
12,25-03-10,800
12,31-05-10,800
12,01-12-10,800
12,17-06-10,800
17,16-10-10,2100
18,16-07-10,1500
16,04-03-10,2400
16,11-12-10,2400
22,29-05-10,2100
6,19-06-11,300
18,08-08-10,300
17,05-12-10,800
25,04-09-10,2100
6,16-04-10,300
25,31-08-10,2400
16,04-10-10,300
3,19-06-11,2400
18,16-07-10,2400
3,03-10-10,800
6,30-11-10,800
6,16-09-10,800
17,03-05-11,2400
25,07-04-10,800
25,17-01-10,800
24,23-04-11,2400
22,01-06-10,2400
12,06-03-11,1500
22,15-07-10,800
9,07-02-10,800
17,25-01-11,300
12,19-07-10,800
18,20-04-11,800
26,14-03-11,800
26,23-12-10,800
1,28-05-11,800
12,01-01-11,300
25,05-02-10,300
12,08-03-11,300
25,14-06-11,800
24,11-01-11,800
3,20-02-07,300
22,08-10-07,300
3,29-09-07,300
6,22-05-07,2400
6,17-01-07,2400
18,05-04-07,1500
12,23-05-07,2100
6,02-09-07,300
9,22-03-07,800
12,21-07-07,800
16,23-12-07,2400
6,02-05-07,2100
22,12-12-07,1500
18,11-09-07,300
16,09-05-07,300
18,28-02-07,1500
18,22-02-07,800
24,08-03-07,800
17,19-09-07,800
17,30-04-07,800
16,11-12-07,800
24,04-01-07,800
26,09-02-07,2100
25,10-07-07,800
25,22-12-07,800
12,05-04-07,800
17,10-02-07,2100
24,21-04-07,2100
16,03-08-07,400
18,22-06-07,300
17,29-07-07,300
25,20-03-07,2100
18,16-07-07,800
18,05-07-07,800
25,11-11-07,800
22,19-08-07,200
24,05-07-07,800
24,18-04-07,200
25,17-03-07,200
1,30-01-08,800
3,18-09-08,800
6,25-05-08,300
9,04-12-08,800
3,28-10-08,300
6,21-09-08,300
1,29-06-08,300
12,18-05-08,300
22,27-02-08,800
18,06-05-08,2100
6,05-11-08,400
22,23-08-08,800
6,15-11-08,800
6,17-11-08,300
16,26-02-08,800
12,11-04-08,800
17,19-11-08,300
22,04-11-08,300
18,02-09-08,300
18,12-11-08,300
12,03-11-08,400
12,01-11-08,400
9,16-06-08,800
12,09-03-08,400
18,10-06-08,400
12,09-08-08,800
22,27-04-08,800
6,02-01-08,2400
12,20-08-08,2100
22,19-05-08,800
17,15-03-08,800
12,04-12-08,2100
25,04-03-08,400
18,14-09-08,800
26,10-04-08,800
26,27-03-08,800
18,06-12-08,2100
18,04-08-08,2100
24,20-08-08,800
25,07-02-08,800
17,28-10-08,900
16,23-03-08,2400
18,30-09-08,800
9,19-11-08,200
25,13-01-08,200
1,02-07-09,800
3,26-04-09,2400
6,17-11-09,800
18,24-06-09,400
12,27-08-09,800
12,18-02-09,800
18,17-12-09,300
16,09-09-09,300
9,12-11-09,800
16,19-01-09,300
24,14-01-09,300
12,01-05-09,800
6,23-12-09,800
17,16-11-09,800
12,20-08-09,200
9,14-09-09,900
17,09-04-09,400
6,01-07-09,2400
26,10-11-09,800
17,03-08-09,300
22,29-03-09,2400
17,19-01-09,300
22,20-01-09,2100
22,05-02-09,2100
22,03-11-09,2100
25,13-08-09,300
18,06-09-09,2100
22,06-09-09,300
16,22-04-09,2100
18,11-05-09,2100
12,05-09-09,800
12,24-07-09,800
18,01-05-09,1500
17,04-09-09,800
22,28-04-09,800
24,16-05-09,800
22,12-06-09,800
17,02-10-09,800
18,05-10-09,300
18,11-10-09,800
24,17-11-09,400
24,20-11-09,400
26,26-02-09,800
24,23-09-09,400
24,23-09-09,400
24,24-09-09,400
24,24-09-09,400
24,25-09-09,400
24,25-09-09,400
24,03-10-09,400
24,03-10-09,400
24,04-10-09,400
24,21-11-09,400
24,29-11-09,400
24,29-11-09,400
24,02-12-09,400
24,06-12-09,400
18,24-07-09,800
18,31-07-09,800
18,01-08-09,800
18,01-08-09,800
18,01-08-09,800
18,02-08-09,800
18,04-08-09,800
18,05-08-09,800
18,06-08-09,800
18,07-08-09,800
18,09-08-09,800
18,10-08-09,800
18,10-08-09,800
18,11-08-09,800
18,18-08-09,800
18,18-08-09,800
18,18-08-09,800
18,19-08-09,800
18,21-08-09,800
18,25-08-09,800
18,26-08-09,800
18,27-08-09,800
18,28-08-09,800
24,08-10-09,400
24,13-10-09,400
24,16-10-09,400
24,23-10-09,400
24,27-10-09,400
24,04-11-09,400
24,09-11-09,400
24,09-11-09,400
24,09-11-09,400
24,15-11-09,400
26,27-03-09,800
26,03-04-09,800
26,03-04-09,800
26,07-04-09,800
26,10-04-09,800
26,11-04-09,800
24,01-10-09,300
24,12-11-09,300
24,17-11-09,300
24,23-11-09,300
24,30-11-09,300
24,30-12-09,300
25,19-06-09,300
25,05-08-09,300
25,13-08-09,300
12,26-12-09,2100
12,27-12-09,2100
12,29-12-09,2100
12,29-12-09,2100
12,30-12-09,2100
12,30-12-09,2100
12,30-12-09,2100
12,31-12-09,2100
25,16-12-09,1500
25,16-12-09,1500
25,22-12-09,1500
25,24-12-09,1500
25,25-12-09,1500
26,23-01-09,1500
26,30-01-09,1500
26,06-02-09,1500
26,07-02-09,1500
26,22-02-09,1500
26,06-03-09,1500
26,18-03-09,1500
26,21-03-09,1500
26,25-03-09,1500
22,20-08-09,400
22,21-08-09,400
22,21-08-09,400
22,22-08-09,400
22,22-08-09,400
22,23-08-09,400
24,31-03-09,800
24,03-04-09,800
24,14-04-09,800
26,21-04-09,1500
26,06-05-09,1500
26,10-05-09,1500
26,14-05-09,1500
26,21-05-09,1500
26,21-05-09,1500
26,24-05-09,1500
26,15-06-09,1500
26,17-06-09,1500
26,22-06-09,1500
26,22-06-09,1500
26,24-06-09,1500
26,29-06-09,1500
26,02-07-09,1500
26,29-08-09,1500
26,20-10-09,1500
26,25-10-09,1500
26,16-11-09,1500
26,17-11-09,1500
26,29-11-09,1500
26,29-11-09,1500
26,04-12-09,1500
26,26-12-09,1500
18,11-10-09,800
18,11-10-09,800
18,14-10-09,800
18,18-10-09,800
18,20-10-09,800
18,22-10-09,800
18,23-10-09,800
18,29-10-09,800
18,30-10-09,800
18,31-10-09,800
18,02-11-09,800
18,02-11-09,800
18,04-11-09,800
18,09-11-09,800
26,16-02-09,800
26,16-02-09,800
26,20-02-09,800
26,21-02-09,800
26,21-02-09,800
26,04-03-09,800
26,07-03-09,800
26,07-03-09,800
26,08-03-09,800
26,09-03-09,800
26,10-03-09,800
26,11-03-09,800
26,11-03-09,800
26,14-03-09,800
26,18-03-09,800
26,18-03-09,800
26,21-03-09,800
26,23-03-09,800
26,24-03-09,800
25,10-10-09,400
25,11-10-09,400
25,11-10-09,400
25,20-10-09,400
25,22-10-09,400
25,23-10-09,400
25,24-10-09,400
25,25-10-09,400
18,04-04-09,200
18,07-05-09,200
18,13-08-09,200
18,23-10-09,200
18,19-11-09,200
16,04-01-09,300
16,05-01-09,300
16,17-01-09,800
16,27-01-09,300
16,12-02-09,300
16,27-03-09,800
16,09-04-09,800
16,30-04-09,300
16,30-04-09,800
16,07-05-09,300
16,01-06-09,800
16,02-06-09,800
16,12-06-09,800
16,13-06-09,800
16,12-07-09,800
16,13-07-09,800
16,14-07-09,800
16,27-07-09,800
16,30-07-09,800
16,05-08-09,300
16,07-08-09,800
22,01-01-09,800
22,05-01-09,300
26,29-12-09,2100
22,23-08-09,400
22,23-08-09,400
22,08-09-09,400
22,23-09-09,400
22,06-01-09,800
22,08-01-09,800
22,13-01-09,800
22,16-01-09,800
22,18-01-09,800
22,24-01-09,800
22,26-01-09,800
22,29-01-09,800
22,01-02-09,800
22,02-02-09,800
22,07-02-09,800
22,10-02-09,800
22,12-02-09,800
22,17-02-09,800
22,23-02-09,800
22,01-03-09,800
26,13-07-09,800
26,18-07-09,800
26,20-07-09,800
26,22-07-09,800
26,23-07-09,800
26,23-07-09,800
26,23-07-09,800
26,23-07-09,800
26,25-07-09,800
26,25-07-09,800
26,26-07-09,800
26,29-07-09,800
26,31-07-09,800
26,01-08-09,800
26,02-08-09,800
26,05-08-09,800
26,06-08-09,800
26,06-08-09,800
26,07-08-09,800
26,07-08-09,800
26,08-08-09,800
26,09-08-09,800
26,10-08-09,800
26,14-08-09,800
26,16-08-09,800
26,19-08-09,800
26,19-08-09,800
26,20-08-09,800
26,20-08-09,800
26,21-08-09,800
26,24-08-09,800
26,25-08-09,800
26,28-08-09,800
26,01-09-09,800
26,06-09-09,800
26,06-09-09,800
26,08-09-09,800
26,11-09-09,800
22,26-07-09,200
16,30-08-09,800
16,12-09-09,800
16,11-10-09,800
16,16-10-09,800
16,26-10-09,800
16,31-10-09,300
25,25-10-09,400
25,25-10-09,400
25,27-10-09,400
25,28-10-09,400
25,01-11-09,400
17,29-05-09,800
17,02-06-09,800
17,16-06-09,800
17,17-06-09,800
17,21-06-09,300
17,24-06-09,800
17,29-06-09,800
17,02-07-09,800
17,06-07-09,800
17,07-07-09,800
17,11-07-09,800
17,13-07-09,800
17,13-07-09,800
17,18-07-09,800
17,18-07-09,300
17,20-07-09,800
17,21-07-09,800
17,21-07-09,800
17,03-08-09,800
17,04-08-09,800
17,06-08-09,800
17,07-08-09,800
17,08-08-09,800
17,11-08-09,800
12,25-01-09,400
12,31-01-09,400
12,31-01-09,400
12,31-01-09,400
12,01-02-09,400
12,01-02-09,400
12,01-02-09,400
12,02-02-09,400
12,10-02-09,400
12,13-02-09,400
12,20-02-09,400
12,21-02-09,400
12,06-03-09,400
12,08-03-09,400
12,10-03-09,400
12,11-03-09,400
12,15-03-09,400
12,15-03-09,400
12,18-03-09,400
12,19-03-09,400
12,20-03-09,400
12,20-03-09,400
12,21-03-09,400
12,26-03-09,400
12,02-04-09,400
12,06-04-09,400
12,08-04-09,400
12,09-04-09,400
12,13-04-09,400
12,16-04-09,400
12,17-04-09,400
12,19-04-09,400
12,19-04-09,400
18,27-12-09,2100
18,27-12-09,2100
18,29-12-09,2100
18,29-12-09,2100
18,30-12-09,2100
18,30-12-09,2100
18,31-12-09,2100
17,23-08-09,800
17,24-08-09,800
17,25-08-09,800
17,25-08-09,800
17,25-08-09,800
17,05-09-09,800
17,12-09-09,800
17,14-09-09,800
17,21-09-09,800
17,02-10-09,800
17,19-10-09,800
17,27-10-09,800
17,06-11-09,300
17,07-11-09,800
17,08-11-09,800
17,10-11-09,800
17,19-11-09,800
17,19-11-09,800
17,23-11-09,800
17,27-11-09,800
18,04-01-09,800
18,05-01-09,800
18,12-01-09,800
18,15-01-09,800
18,23-01-09,800
12,22-04-09,400
12,24-04-09,400
22,18-12-09,2100
22,19-12-09,2100
22,22-12-09,2100
22,27-12-09,2100
22,29-12-09,2100
22,30-12-09,2100
22,30-12-09,2100
24,18-12-09,2100
24,19-12-09,2100
24,19-12-09,2100
24,25-12-09,2100
24,26-12-09,2100
24,26-12-09,2100
26,20-05-09,800
26,21-05-09,800
26,22-05-09,800
26,22-05-09,800
26,23-05-09,800
26,23-05-09,800
26,25-05-09,800
26,27-05-09,800
26,28-05-09,800
26,28-05-09,800
26,30-05-09,800
22,30-09-09,400
26,11-09-09,800
26,12-09-09,800
26,12-09-09,800
26,13-09-09,800
26,13-09-09,800
26,14-09-09,800
26,15-09-09,800
26,20-09-09,800
26,20-09-09,800
26,23-09-09,800
26,25-09-09,800
26,26-09-09,800
26,27-09-09,800
26,29-09-09,800
26,29-09-09,800
26,01-10-09,800
26,02-10-09,800
26,03-10-09,800
26,03-10-09,800
26,30-10-09,200
22,07-10-09,400
22,09-10-09,400
22,11-10-09,400
22,18-10-09,400
22,25-10-09,400
22,09-11-09,400
22,17-11-09,400
22,17-11-09,400
22,17-11-09,400
22,29-11-09,400
22,03-12-09,400
22,05-12-09,400
22,06-12-09,400
22,08-12-09,400
22,08-12-09,400
22,09-12-09,400
22,10-12-09,400
22,13-12-09,400
22,20-12-09,400
6,28-05-09,400
6,29-05-09,400
6,29-05-09,400
6,01-06-09,400
6,26-06-09,400
6,05-07-09,400
6,05-07-09,400
6,05-07-09,400
6,06-07-09,400
6,11-07-09,400
22,08-03-09,800
22,13-03-09,800
22,13-03-09,800
22,13-03-09,800
22,14-03-09,800
22,19-03-09,800
22,24-03-09,800
22,08-04-09,800
22,10-04-09,800
22,11-04-09,800
22,12-04-09,800
22,13-04-09,800
22,29-04-09,800
22,02-05-09,800
22,07-05-09,800
22,07-05-09,800
22,11-05-09,800
22,12-05-09,800
22,17-05-09,300
22,04-06-09,800
18,27-06-09,800
18,29-06-09,800
18,30-06-09,800
18,02-07-09,800
18,05-07-09,800
18,09-07-09,800
18,11-07-09,800
18,29-07-09,800
18,31-07-09,800
18,31-07-09,800
18,03-08-09,800
18,06-08-09,800
18,06-08-09,800
18,12-08-09,800
18,14-08-09,800
18,17-08-09,800
18,18-08-09,800
18,20-08-09,800
18,21-08-09,800
18,27-08-09,800
18,27-08-09,800
18,27-08-09,800
18,30-08-09,800
22,05-06-09,800
22,08-06-09,800
22,09-06-09,800
22,09-06-09,800
22,12-06-09,800
1,27-03-09,900
1,04-11-09,400
1,04-11-09,400
3,09-08-09,400
3,09-08-09,400
3,12-09-09,400
3,12-09-09,400
17,22-05-09,800
17,15-04-09,800
17,25-04-09,800
17,28-04-09,800
17,02-05-09,800
17,06-05-09,800
17,10-05-09,800
17,15-05-09,800
17,23-05-09,800
17,28-05-09,800
16,19-05-09,900
17,10-12-09,400
18,26-04-09,400
22,02-08-09,400
24,06-01-09,400
24,06-01-09,400
24,10-12-09,400
25,20-03-09,400
25,22-05-09,900
25,02-06-09,900
25,28-08-09,400
25,28-08-09,400
25,15-09-09,400
26,09-09-09,400
