DIST,DC_KEY,CODE,DATE_,TIME,RACE,SEX,LATINO,AGE,WOUND,INSIDE,OUTSIDE,FATAL,OFFICER_INVOLVED,OFFENDER_INJURED,OFFENDER_DECEASED,LOCATION,SHAPE,Police Districts
39,201539038769,0411,05/16/2015 12:00:00 AM,23:15 pm,B,M,0,18,buttocks,0,-1,0,N,N,N,2800 Block of N. Bonsall St.,POINT (-75.169159 39.998284),21
39,201539043025,0411,05/25/2015 12:00:00 AM,01:40 am,B,M,0,20,hand,0,-1,0,N,N,N,1700 Block of W. Courtland St.,POINT (-75.153064 40.023554),20
39,201539044708,0411,06/03/2015 12:00:00 AM,23:30 pm,B,M,0,26,leg,0,-1,0,N,N,N,2200 Block of N. Lippencott St.,POINT (-75.166117 40.002397),21
39,201539047763,0411,06/13/2015 12:00:00 AM,02:31 am,B,F,0,27,leg,0,-1,0,N,N,N,4200 Block of N. Carlisle St.,POINT (-75.15049 40.017063),21
39,201539047772,0411,06/13/2015 12:00:00 AM,02:31 am,B,M,0,40,leg,0,-1,0,N,N,N,4200 Block of N. Carlisle St.,POINT (-75.15049 40.017063),21
39,201539045043,0111,06/05/2015 12:00:00 AM,00:30 am,B,M,0,28,multi,0,-1,-1,N,N,N,3700 Block of N. Germantown Ave.,POINT (-75.151147 40.009965),21
39,201539045781,0411,06/07/2015 12:00:00 AM,04:15 am,B,M,0,36,leg,0,-1,0,N,N,N,3900 Block of Priscilla St.,POINT (-75.15895 40.013594),21
39,201539049064,0411,06/17/2015 12:00:00 AM,13:34 pm,B,F,0,23,multi,0,-1,0,N,N,N,2500 Block of W. Allegheny Ave.,POINT (-75.170973 40.003887),21
39,201539050343,0111,06/21/2015 12:00:00 AM,01:55 am,B,M,0,24,chest,0,-1,-1,N,N,N,2700 Block of N. 29th St.,POINT (-75.178304 39.99858),21
39,201539053314,0411,06/30/2015 12:00:00 AM,23:24 pm,B,M,0,48,leg,0,-1,0,N,N,N,2800 Block of Stillman St.,POINT (-75.172607 39.997948),21
39,201539053938,0411,07/03/2015 12:00:00 AM,00:16 am,B,M,0,54,legs,0,-1,0,N,N,N,3700 Block of N. 21st St.,POINT (-75.162674 40.010759),21
39,201539053958,0000,07/03/2015 12:00:00 AM,02:21 am,B,M,0,21,buttocks,0,-1,0,N,N,N,1800 Block of W. Juniata St.,POINT (-75.156794 40.01729),21
