X,Y,OBJECTID,DISTRICT_NUMBER,LOCATION,TELEPHONE_NUMBER,RULEID
-75.032699527520151,40.090979721262443,1,7,Bustleton Ave & Bowler St,686-3070,Rule_1
-75.177000574412361,40.038431655871015,2,14,Haines St & Germantown Ave,686-3140,Rule_1
-74.997295375533454,40.080105840720421,3,8,Academy Rd & Red Lion Rd,686-3080,Rule_1
-75.063245252244982,40.031488142255483,4,2,Harbison Ave & Levick St,686-3020,Rule_1
-75.143653390326591,40.044501983378055,5,35,N Broad St & Champlost St,686-3350,Rule_1
-75.063245252244982,40.031488142255483,6,15,Harbison Ave & Levick St,686-3150,Rule_1
-75.224398915624477,40.040199371399318,7,5,Ridge Ave & Cinnaminson St,686-3050,Rule_1
-75.164254887176327,40.010901663630605,8,39,22nd St & Hunting Park Ave,686-3390,Rule_1
-75.122494964091814,40.008740329057069,9,25,3901 Whitaker Ave,686-3250,Rule_1
-75.162404094438301,39.98078632445759,10,22,17th St & Montgomery Ave,686-3220,Rule_1
-75.122494964091814,40.008740329057069,11,24,3901 Whitaker Ave,686-3240,Rule_1
-75.127081865632363,39.971322902355077,12,26,E Girard Ave & Montgomery Ave,686-3260,Rule_1
-75.240904418203286,39.971318260542041,13,19,61st  St & Thompson St,686-3190,Rule_1
-75.200154802211586,39.961933838957577,14,16,39th St & Lancaster Ave,686-3160,Rule_1
-75.17158585260546,39.960804835857736,15,9,20th St & Pennsylvania Ave,686-3090,Rule_1
-75.157187806523709,39.956840632310936,16,6,11th St & Winter St,686-3060,Rule_1
-75.232170494939922,39.954292019320391,17,18,55th St & Pine St,686-3180,Rule_1
-75.176755505076329,39.937244215900684,18,17,20th St & Federal St,686-3170,Rule_1
-75.162287080766234,39.933448592843384,19,3,11th St & Wharton St,686-3030,Rule_1
-75.234342251291849,39.925560988949101,20,12,65th St & Woodland Ave,686-3120,Rule_1
-75.186930519293711,39.924065643039278,21,1,24th St & Wolf St,686-3010,Rule_1
-75.152354531868269,39.954541409046136,22,0,Police Headquarters, ,Rule_1
-75.151942524028911,39.949256311095901,23,0,Center City District, ,Rule_1
-75.20301991365838,39.956597629420557,24,0,40th & Chestnut-U-Penn, ,Rule_1
