OBJECTID,PERMITTYPE,OCCUPANCYTYPE,PERMITNUMBER,EFFECTIVEDATE,EXPIRATIONDATE,RAINDATE,PURPOSE,STATUS,SEG_ID,TYPE,ADDRESS
1001,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,422522,PAVING,1100 N 38TH ST  
1002,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,422534,PAVING,3800 FAIRMOUNT AVE  
1003,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,422648,PAVING,3800 HAMILTON ST  
1004,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,422649,PAVING,3800 BARING ST  
1005,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,422652,PAVING,600 N 38TH ST  
1006,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,422973,PAVING,200 S 22ND ST  
1007,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,423106,PAVING,3800 SPRUCE ST  
1008,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,423215,PAVING,0 S 22ND ST  
1009,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,423216,PAVING,0 S 22ND ST  
1010,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,423220,PAVING,200 S 40TH ST  
1011,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,423221,PAVING,200 S 40TH ST  
1012,ADA Ramps & Resurfacing,Full Closure,G2014-00042,2014-04-01T00:00:00.000Z,,,ADA Ramps & Resurfacing,Future,423343,PAVING,4100 HAVERFORD AVE  
1013,ADA Ramps & Resurfacing,Full Closure,G2014-00042,2014-04-01T00:00:00.000Z,,,ADA Ramps & Resurfacing,Future,423344,PAVING,4100 HAVERFORD AVE  
1014,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,440440,PAVING,0 S 4TH ST  
1015,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,440455,PAVING,0 S 4TH ST  
1016,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,440480,PAVING,0 S 4TH ST  
1017,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,440746,PAVING,100 CALLOWHILL ST  
1018,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,441432,PAVING,100 CALLOWHILL ST  
1019,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,441630,PAVING,0 CALLOWHILL ST  
1020,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,441631,PAVING,0 CALLOWHILL ST  
1021,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,441676,PAVING,0 N FRONT ST  
1022,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,441677,PAVING,0 N FRONT ST  
1023,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,441678,PAVING,0 N FRONT ST  
1024,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,441781,PAVING,0 N 15TH ST  
1025,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,520722,PAVING,3100 N 24TH ST  
1026,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,520723,PAVING,3000 N 24TH ST  
1027,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,520724,PAVING,3000 N 24TH ST  
1028,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,520725,PAVING,3000 N 24TH ST  
1029,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,520726,PAVING,2900 N 24TH ST  
1030,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,520729,PAVING,2900 N BONSALL ST  
1031,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,520733,PAVING,3100 N HEMBERGER ST  
1032,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,520811,PAVING,2200 W SOMERSET ST  
1033,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,521657,PAVING,2400 N 33RD ST  
1034,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,521726,PAVING,2500 W CLEARFIELD ST  
1035,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,521727,PAVING,2500 W CLEARFIELD ST  
1036,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,521728,PAVING,2500 W CLEARFIELD ST  
1037,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,521729,PAVING,2400 W CLEARFIELD ST  
1038,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,521730,PAVING,2400 W CLEARFIELD ST  
1039,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,521760,PAVING,3000 N 23RD ST  
1040,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,521773,PAVING,3000 N 24TH ST  
1041,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,521794,PAVING,2400 W CAMBRIA ST  
1042,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,521795,PAVING,2400 W CAMBRIA ST  
