OBJECTID,CRN,CRASH_YEAR,LANE_COUNT,SPEED_LIMIT,ACCESS_CTRL,RDWY_ORIENT
5001,2011054175,2011,2,30,3,S
5002,2011054176,2011,4,25,3,N
5003,2011054176,2011,2,25,3,S
5004,2011054176,2011,2,,,E
5005,2011054177,2011,2,,,W
5006,2011054177,2011,2,25,,N
5007,2011054178,2011,2,,,U
5008,2011054179,2011,2,35,,N
5009,2011054179,2011,2,,,E
5010,2011054180,2011,2,35,3,N
5011,2011054180,2011,2,35,3,S
5012,2011054180,2011,2,25,,E
5013,2011054181,2011,2,30,3,E
5014,2011054182,2011,1,25,,S
5015,2011054182,2011,1,25,,E
5016,2011054183,2011,2,,,N
5017,2011054183,2011,1,,,W
5018,2011054184,2011,4,30,3,N
5019,2011054184,2011,4,30,3,S
5020,2011054184,2011,1,,,E
5021,2011054185,2011,2,35,,S
5022,2011054185,2011,2,35,,W
5023,2011054186,2011,2,30,3,N
5024,2011054186,2011,2,30,3,S
5025,2011054186,2011,2,25,,S
5026,2011054187,2011,99,,,E
5027,2011054188,2011,3,45,3,S
5028,2011054188,2011,2,,,W
5029,2011054189,2011,2,35,,S
5030,2011054190,2011,3,35,3,W
5031,2011054191,2011,4,40,,E
5032,2011054192,2011,3,40,3,N
5033,2011054192,2011,2,30,3,E
5034,2011054193,2011,2,,,W
5035,2011054193,2011,1,25,,S
5036,2011054194,2011,2,,,E
5037,2011054194,2011,2,25,,N
5038,2011054195,2011,3,,3,N
5039,2011054195,2011,3,,3,S
5040,2011054195,2011,2,,,E
5041,2011054196,2011,1,25,,S
5042,2011054198,2011,2,30,3,W
5043,2011054199,2011,2,,,E
5044,2011054199,2011,1,25,,S
5045,2011054201,2011,1,25,,E
5046,2011054201,2011,2,25,,S
5047,2011054203,2011,2,30,3,N
5048,2011054203,2011,4,35,3,S
5049,2011054203,2011,2,,,W
5050,2011054204,2011,4,25,3,E
5051,2011054205,2011,2,35,3,S
5052,2011054206,2011,2,35,,W
5053,2011054207,2011,1,,,N
5054,2011054207,2011,1,,,E
5055,2011054208,2011,2,30,3,E
5056,2011054208,2011,1,,,N
5057,2011054209,2011,2,30,3,E
5058,2011054210,2011,2,25,3,N
5059,2011054210,2011,2,,,E
5060,2011054211,2011,2,25,3,N
5061,2011054211,2011,2,30,3,E
5062,2011054211,2011,2,30,3,W
5063,2011054212,2011,3,40,3,S
5064,2011054212,2011,2,25,,W
5065,2011054212,2011,2,25,,W
5066,2011054213,2011,2,,,N
5067,2011054214,2011,2,25,,N
5068,2011054215,2011,2,35,3,N
5069,2011054215,2011,2,,,E
5070,2011054216,2011,2,25,3,N
5071,2011054216,2011,2,25,3,S
5072,2011054216,2011,2,25,3,S
5073,2011054217,2011,3,40,3,N
5074,2011054217,2011,3,45,3,N
5075,2011054217,2011,2,,,E
5076,2011054217,2011,2,,,E
5077,2011054218,2011,2,30,3,E
5078,2011054218,2011,2,30,3,W
5079,2011054218,2011,2,,,N
5080,2011054219,2011,2,35,3,S
5081,2011054219,2011,99,25,,E
5082,2011054220,2011,2,25,3,E
5083,2011054220,2011,2,35,,N
5084,2011054220,2011,2,35,,E
5085,2011054221,2011,2,35,3,N
5086,2011054221,2011,2,25,,N
5087,2011054224,2011,2,35,3,S
5088,2011054224,2011,2,25,3,E
5089,2011054225,2011,1,,,W
5090,2011054225,2011,1,,,S
5091,2011054226,2011,3,,,W
5092,2011054227,2011,2,30,3,N
5093,2011054227,2011,2,30,3,S
5094,2011054227,2011,2,,,W
5095,2011054228,2011,1,35,3,W
5096,2011054229,2011,2,,,N
5097,2011054231,2011,2,,,N
5098,2011054232,2011,3,45,3,S
5099,2011054232,2011,3,40,3,S
5100,2011054233,2011,2,35,3,N
5101,2011054234,2011,2,50,1,E
5102,2011054235,2011,2,35,,N
5103,2011054237,2011,2,,,W
5104,2011054237,2011,2,,,N
5105,2011054238,2011,3,35,3,N
5106,2011054239,2011,2,,,E
5107,2011054240,2011,2,25,,S
5108,2011054240,2011,2,25,,W
5109,2011054241,2011,3,40,3,N
5110,2011054241,2011,3,25,3,S
5111,2011054242,2011,3,45,3,N
5112,2011054242,2011,3,45,3,N
5113,2011054243,2011,3,40,3,N
5114,2011054244,2011,3,40,3,N
5115,2011054244,2011,2,25,3,N
5116,2011054244,2011,2,25,3,S
5117,2011054245,2011,3,40,3,N
5118,2011054246,2011,3,40,3,N
5119,2011054246,2011,2,,,E
5120,2011054248,2011,3,40,3,S
5121,2011054248,2011,3,40,3,S
5122,2011054248,2011,2,,,W
5123,2011054249,2011,3,40,3,N
5124,2011054249,2011,2,,,E
5125,2011054250,2011,3,45,3,S
5126,2011054252,2011,3,45,,N
5127,2011054253,2011,3,50,1,S
5128,2011054254,2011,2,30,3,N
5129,2011054254,2011,2,30,3,S
5130,2011054254,2011,2,25,3,E
5131,2011054254,2011,2,25,3,W
5132,2011054255,2011,1,25,3,E
5133,2011054256,2011,1,25,3,E
5134,2011054256,2011,1,25,,N
5135,2011054257,2011,2,25,3,W
5136,2011054258,2011,3,35,3,N
5137,2011054259,2011,2,,,E
5138,2011054259,2011,2,,,N
5139,2011054260,2011,2,,,S
5140,2011054260,2011,2,25,,E
5141,2011054261,2011,2,30,3,E
5142,2011054261,2011,1,,,S
5143,2011054262,2011,2,,,W
5144,2011054262,2011,2,,,N
5145,2011054263,2011,1,,,N
5146,2011054264,2011,2,,,N
5147,2011054265,2011,2,30,3,N
5148,2011054265,2011,2,30,3,S
5149,2011054265,2011,2,35,3,E
5150,2011054266,2011,2,25,3,E
5151,2011054266,2011,2,25,,S
5152,2011054267,2011,2,,,E
5153,2011054267,2011,2,,,N
5154,2011054268,2011,2,35,3,N
5155,2011054268,2011,2,35,3,S
5156,2011054268,2011,2,25,3,E
5157,2011054269,2011,4,35,3,N
5158,2011054269,2011,2,25,,E
5159,2011054270,2011,1,,,E
5160,2011054271,2011,2,30,3,W
5161,2011054271,2011,2,35,3,W
5162,2011054272,2011,2,,,E
5163,2011054273,2011,2,35,3,E
5164,2011054273,2011,2,35,3,W
5165,2011054273,2011,2,,,S
5166,2011054273,2011,2,,,W
5167,2011054274,2011,2,35,3,E
5168,2011054274,2011,2,35,,N
5169,2011054275,2011,3,25,3,N
5170,2011054275,2011,2,25,3,S
5171,2011054275,2011,2,35,3,E
5172,2011054276,2011,2,30,3,E
5173,2011054277,2011,2,35,3,N
5174,2011054277,2011,2,35,3,S
5175,2011054277,2011,2,25,,E
5176,2011054277,2011,2,30,,S
5177,2011054278,2011,2,35,3,W
5178,2011054278,2011,2,35,,N
5179,2011054279,2011,2,30,3,E
5180,2011054279,2011,2,30,3,W
5181,2011054279,2011,2,,,S
5182,2011054280,2011,2,35,3,N
5183,2011054281,2011,2,35,3,N
5184,2011054282,2011,3,55,2,W
5185,2011054283,2011,2,25,,S
5186,2011054284,2011,2,35,3,N
5187,2011054284,2011,2,35,3,S
5188,2011054284,2011,2,25,3,N
5189,2011054284,2011,2,25,3,S
5190,2011054284,2011,2,35,3,W
5191,2011054286,2011,2,35,3,S
5192,2011054287,2011,2,30,3,W
5193,2011054287,2011,2,,,N
5194,2011054288,2011,1,,1,N
5195,2011054289,2011,2,35,3,E
5196,2011054289,2011,2,,,N
5197,2011054290,2011,2,30,,N
5198,2011054291,2011,2,,,E
5199,2011054291,2011,2,25,,N
5200,2011054293,2011,2,35,3,N
5201,2011054293,2011,2,35,3,S
5202,2011054293,2011,2,25,,S
5203,2011054294,2011,2,35,3,S
5204,2011054294,2011,1,25,,E
5205,2011054295,2011,2,35,3,N
5206,2011054296,2011,1,,,E
5207,2011054296,2011,1,,,N
5208,2011054297,2011,2,,,E
5209,2011054298,2011,1,,,S
5210,2011054298,2011,2,25,,E
5211,2011054299,2011,2,25,,E
5212,2011054299,2011,2,25,,N
5213,2011054300,2011,2,30,,N
5214,2011054302,2011,3,35,3,N
5215,2011054302,2011,99,,,E
5216,2011054304,2011,2,35,3,N
5217,2011054304,2011,2,35,3,S
5218,2011054304,2011,1,,,E
5219,2011054305,2011,3,35,3,E
5220,2011054306,2011,3,45,3,N
5221,2011054307,2011,2,35,,E
5222,2011054307,2011,2,30,,S
5223,2011054308,2011,2,35,3,N
5224,2011054308,2011,2,35,3,S
5225,2011054308,2011,2,35,,E
5226,2011054309,2011,2,30,,E
5227,2011054310,2011,2,30,3,N
5228,2011054310,2011,2,,,E
5229,2011054311,2011,2,15,,E
5230,2011054311,2011,1,15,,S
5231,2011054312,2011,2,25,,N
5232,2011054313,2011,2,25,,E
5233,2011054313,2011,2,35,,N
5234,2011054314,2011,2,30,3,E
5235,2011054314,2011,2,30,3,W
5236,2011054314,2011,99,,,S
5237,2011054315,2011,2,25,,N
5238,2011054315,2011,1,25,,N
5239,2011054316,2011,2,25,3,W
5240,2011054316,2011,2,25,3,N
5241,2011054318,2011,2,25,,W
5242,2011054319,2011,2,35,,N
5243,2011054319,2011,2,35,,E
5244,2011054320,2011,99,,,E
5245,2011054320,2011,99,,,N
5246,2011054321,2011,2,25,3,W
5247,2011054322,2011,2,25,3,W
