OBJECTID,CRN,CRASH_YEAR,UNIT_NUM,VEH_TYPE,BODY_TYPE,VEH_MOVEMENT,TRAVEL_SPD,VEHICLE_FAILURE
8001,2011061889,2011,2,6,15,1,20,0
8002,2011061890,2011,1,1,15,1,999,0
8003,2011061890,2011,2,1,4,3,0,0
8004,2011061891,2011,1,1,4,12,10,0
8005,2011061891,2011,2,,,,,0
8006,2011061892,2011,1,1,4,12,10,0
8007,2011061892,2011,2,1,4,12,10,0
8008,2011061893,2011,1,1,4,7,15,0
8009,2011061894,2011,1,1,3,1,35,0
8010,2011061894,2011,2,1,12,1,35,0
8011,2011061896,2011,1,1,4,2,999,0
8012,2011061896,2011,2,1,4,2,999,0
8013,2011061897,2011,1,6,19,10,5,0
8014,2011061897,2011,2,,,,,0
8015,2011061898,2011,1,1,4,5,999,0
8016,2011061898,2011,2,1,4,1,999,0
8017,2011061899,2011,1,1,4,1,15,0
8018,2011061899,2011,2,1,12,1,5,0
8019,2011061899,2011,3,1,9,6,0,0
8020,2011061900,2011,1,1,4,16,999,0
8021,2011061901,2011,1,1,12,1,99,0
8022,2011061901,2011,2,6,15,1,99,0
8023,2011061901,2011,3,1,12,6,0,0
8024,2011061902,2011,1,1,4,1,25,0
8025,2011061902,2011,2,1,6,3,0,0
8026,2011061902,2011,3,4,51,3,0,0
8027,2011061903,2011,1,1,3,1,999,0
8028,2011061903,2011,2,1,4,2,999,0
8029,2011061904,2011,1,6,15,10,999,0
8030,2011061904,2011,2,1,4,1,999,0
8031,2011061905,2011,1,1,4,10,99,0
8032,2011061905,2011,2,20,,1,999,0
8033,2011061906,2011,1,1,4,12,999,0
8034,2011061906,2011,2,1,4,1,999,0
8035,2011061907,2011,1,1,15,15,35,0
8036,2011061907,2011,2,1,3,2,5,0
8037,2011061907,2011,3,1,15,2,5,0
8038,2011062002,2011,1,1,4,99,75,0
8039,2011062002,2011,2,6,15,6,0,0
8040,2011062002,2011,3,6,15,6,0,0
8041,2011062005,2011,1,1,4,1,999,0
8042,2011062005,2011,2,4,51,6,0,0
8043,2011062005,2011,3,1,4,6,0,0
8044,2011062005,2011,4,1,4,6,0,0
8045,2011062005,2011,5,1,4,6,0,0
8046,2011062006,2011,1,5,79,1,999,0
8047,2011062006,2011,2,1,9,1,999,0
8048,2011062007,2011,1,1,4,1,999,0
8049,2011062007,2011,2,6,15,1,999,0
8050,2011062008,2011,1,1,4,1,999,1
8051,2011062008,2011,2,5,75,1,999,1
8052,2011062009,2011,1,1,4,1,10,0
8053,2011062009,2011,2,3,73,99,999,0
8054,2011062010,2011,1,4,41,1,999,0
8055,2011062010,2011,2,1,4,12,999,0
8056,2011062011,2011,1,6,15,1,999,0
8057,2011062011,2011,2,20,,1,999,0
8058,2011062012,2011,1,4,51,1,999,0
8059,2011062012,2011,2,1,4,6,0,0
8060,2011062012,2011,3,6,15,6,0,0
8061,2011062013,2011,1,1,4,1,999,0
8062,2011062013,2011,2,1,4,15,999,0
8063,2011062013,2011,3,1,9,1,999,0
8064,2011062014,2011,1,1,4,1,999,0
8065,2011062014,2011,2,1,4,1,999,0
8066,2011062014,2011,3,1,4,1,999,0
8067,2011062015,2011,1,1,4,1,20,0
8068,2011062015,2011,2,3,39,3,0,0
8069,2011062016,2011,1,7,15,99,999,0
8070,2011062016,2011,2,1,15,99,999,0
8071,2011062017,2011,1,1,4,1,999,0
8072,2011062017,2011,2,1,9,1,999,0
8073,2011062017,2011,3,4,51,6,0,0
8074,2011062017,2011,4,1,15,6,0,0
8075,2011062017,2011,5,1,5,99,0,0
8076,2011062018,2011,1,2,25,1,999,0
8077,2011062019,2011,1,1,9,99,999,0
8078,2011062019,2011,2,,,,,0
8079,2011062021,2011,1,1,4,1,15,0
8080,2011062021,2011,2,20,,1,999,0
8081,2011062022,2011,1,7,41,1,3,0
8082,2011062022,2011,2,1,4,3,0,0
8083,2011062478,2011,1,1,2,1,55,0
8084,2011062479,2011,1,6,15,1,30,0
8085,2011062479,2011,2,6,15,3,0,0
8086,2011062480,2011,1,1,2,15,50,0
8087,2011062480,2011,2,6,15,1,50,0
8088,2011062480,2011,3,6,15,1,50,0
8089,2011062482,2011,1,1,4,1,25,0
8090,2011062482,2011,2,1,4,1,5,0
8091,2011062482,2011,3,6,15,1,5,0
8092,2011062483,2011,1,1,12,1,35,0
8093,2011062483,2011,2,6,15,2,30,0
8094,2011062483,2011,3,1,4,2,25,0
8095,2011062483,2011,4,1,6,2,25,0
8096,2011062483,2011,5,1,4,2,25,0
8097,2011062486,2011,1,1,4,1,40,0
8098,2011062486,2011,2,5,51,2,25,0
8099,2011062486,2011,3,6,15,2,25,0
8100,2011062487,2011,1,1,4,1,45,0
8101,2011062487,2011,2,6,15,3,0,0
8102,2011062625,2011,1,6,15,15,55,0
8103,2011062625,2011,2,1,2,1,55,0
8104,2011062626,2011,1,6,15,16,35,0
8105,2011062626,2011,2,1,2,2,5,0
8106,2011062627,2011,1,7,41,1,55,0
8107,2011062979,2011,1,1,4,1,25,0
8108,2011062979,2011,2,7,12,3,0,0
8109,2011062980,2011,1,1,4,1,25,0
8110,2011062980,2011,2,1,4,3,0,0
8111,2011062981,2011,1,6,12,2,50,0
8112,2011062981,2011,2,1,4,2,5,0
8113,2011063187,2011,1,2,20,16,90,0
8114,2011063188,2011,1,4,51,98,30,0
8115,2011063188,2011,2,1,4,1,3,0
8116,2011063189,2011,1,4,51,1,10,0
8117,2011063189,2011,2,6,15,1,5,0
8118,2011063192,2011,1,1,4,99,10,0
8119,2011063192,2011,2,1,4,3,0,0
8120,2011063193,2011,1,6,15,15,50,0
8121,2011063193,2011,2,1,4,1,55,0
8122,2011063194,2011,1,1,6,1,65,0
8123,2011063195,2011,1,6,15,1,55,0
8124,2011063195,2011,2,7,12,3,0,0
8125,2011063195,2011,3,1,9,1,50,0
8126,2011063197,2011,1,1,4,1,65,0
8127,2011063480,2011,1,1,4,2,45,0
8128,2011063480,2011,2,1,4,3,0,0
8129,2011063480,2011,3,1,6,3,0,0
8130,2011063484,2011,1,1,4,1,50,0
8131,2011063484,2011,2,1,4,2,10,0
8132,2011063485,2011,1,1,4,1,45,1
8133,2011063637,2011,1,4,51,15,30,0
8134,2011063637,2011,2,1,4,16,65,0
8135,2011063639,2011,1,5,75,16,55,1
8136,2011063639,2011,2,1,4,1,60,1
8137,2011063640,2011,1,6,15,17,40,0
8138,2011063641,2011,1,1,4,1,70,0
8139,2011063642,2011,1,7,12,1,35,0
8140,2011063642,2011,2,6,51,3,0,0
8141,2011063643,2011,1,1,2,15,55,0
8142,2011063862,2011,1,7,12,1,55,0
8143,2011063987,2011,1,2,20,1,45,0
8144,2011063988,2011,1,1,4,1,15,0
8145,2011063988,2011,2,1,4,1,1,0
8146,2011063989,2011,1,1,4,15,999,0
8147,2011063989,2011,2,1,4,15,30,0
8148,2011064006,2011,1,1,4,1,30,0
8149,2011064006,2011,2,1,4,12,999,0
8150,2011064007,2011,1,2,23,1,40,0
8151,2011064007,2011,2,6,15,12,5,0
8152,2011064008,2011,1,1,4,4,25,0
8153,2011064008,2011,2,,,,,0
8154,2011064009,2011,1,25,,1,999,0
8155,2011064009,2011,2,1,15,1,999,0
8156,2011064010,2011,1,99,,12,999,0
8157,2011064010,2011,2,20,,1,999,0
8158,2011064011,2011,1,6,15,1,999,0
8159,2011064013,2011,1,7,41,1,999,0
8160,2011064013,2011,2,1,4,7,999,0
8161,2011064014,2011,1,1,4,98,999,0
8162,2011064016,2011,1,7,73,1,999,0
8163,2011064016,2011,2,,,,,0
8164,2011064017,2011,1,2,29,99,999,0
8165,2011064017,2011,2,4,15,6,0,0
8166,2011064018,2011,1,6,15,10,999,0
8167,2011064018,2011,2,,,,,0
8168,2011064019,2011,1,,,,,0
8169,2011064019,2011,2,6,15,1,999,0
8170,2011064020,2011,1,1,9,1,999,0
8171,2011064020,2011,2,,,,,0
8172,2011064021,2011,1,1,4,1,999,0
8173,2011064021,2011,2,1,4,1,999,0
8174,2011064022,2011,1,7,41,12,5,0
8175,2011064022,2011,2,,,,,0
8176,2011064023,2011,1,6,15,1,5,0
8177,2011064024,2011,1,20,,1,999,0
8178,2011064024,2011,2,4,41,10,999,0
8179,2011064025,2011,1,1,4,1,999,0
8180,2011064026,2011,1,1,4,1,999,0
8181,2011064027,2011,1,1,4,12,99,0
