Year,Team,Nickname,City, Price , Size , Price per Ounce 
2013,Arizona Diamondbacks,Diamondbacks,Arizona, 4.00 , 14 , 0.29 
2013,Atlanta Braves,Braves,Atlanta, 7.25 , 16 , 0.45 
2013,Baltimore Orioles,Orioles,Baltimore, 6.75 , 18 , 0.38 
2013,Boston Red Sox,Red Sox,Boston, 7.25 , 12 , 0.60 
2013,Chicago Cubs,Cubs,Chicago, 7.25 , 16 , 0.45 
2013,Chicago White Sox,White Sox,Chicago, 6.50 , 16 , 0.41 
2013,Cincinnati Reds,Reds,Cincinnati, 5.50 , 12 , 0.46 
2013,Cleveland Indians,Indians,Cleveland, 4.00 , 12 , 0.33 
2013,Colorado Rockies,Rockies,Colorado, 6.00 , 16 , 0.38 
2013,Detroit Tigers,Tigers,Detroit, 5.00 , 12 , 0.42 
2013,Houston Astros,Astros,Houston, 5.00 , 14 , 0.36 
2013,Kansas City Royals,Royals,Kansas City, 6.50 , 16 , 0.41 
2013,Los Angeles Angels,Angels,Anaheim, 4.50 , 16 , 0.28 
2013,Los Angeles Dodgers,Dodgers,Los Angeles, 6.25 , 16 , 0.39 
2013,Miami Marlins,Marlins,Miami, 8.00 , 20 , 0.40 
2013,Milwaukee Brewers,Brewers,Milwaukee, 6.00 , 16 , 0.38 
2013,Minnesota Twins,Twins,Minnesota, 7.50 , 20 , 0.38 
2013,New York Mets,Mets,New York, 5.75 , 12 , 0.48 
2013,New York Yankees,Yankees,New York, 6.00 , 12 , 0.50 
2013,Oakland Athletics,Athletics,Oakland, 5.00 , 14 , 0.36 
2013,Philadelphia Phillies,Phillies,Philadelphia, 7.75 , 21 , 0.37 
2013,Pittsburgh Pirates,Pirates,Pittsburgh, 5.50 , 16 , 0.34 
2013,San Diego Padres,Padres,San Diego, 5.00 , 14 , 0.36 
2013,San Francisco Giants,Giants,San Francisco, 6.75 , 16 , 0.42 
2013,Seattle Mariners,Mariners,Seattle, 5.50 , 12 , 0.46 
2013,St. Louis Cardinals,Cardinals,St. Louis, 6.75 , 12 , 0.56 
2013,Tampa Bay Rays,Rays,Tampa, 5.00 , 12 , 0.42 
2013,Texas Rangers,Rangers,Arlington, 5.00 , 16 , 0.31 
2013,Toronto Blue Jays,Blue Jays,Toronto, 7.34 , 14 , 0.52 
2013,Washington Nationals,Nationals,Washington, 8.25 , 16 , 0.52 
2013,MLB Average,MLB Average,, 6.09 , 15 , 0.41 
2014,Arizona Diamondbacks,Diamondbacks,Arizona, 4.00 , 14 , 0.29 
2014,Atlanta Braves,Braves,Atlanta, 7.25 , 16 , 0.45 
2014,Baltimore Orioles,Orioles,Baltimore, 6.75 , 16 , 0.42 
2014,Boston Red Sox,Red Sox,Boston, 7.75 , 12 , 0.65 
2014,Chicago Cubs,Cubs,Chicago, 7.50 , 16 , 0.47 
2014,Chicago White Sox,White Sox,Chicago, 6.50 , 16 , 0.41 
2014,Cincinnati Reds,Reds,Cincinnati, 5.50 , 12 , 0.46 
2014,Cleveland Indians,Indians,Cleveland, 4.00 , 12 , 0.33 
2014,Colorado Rockies,Rockies,Colorado, 6.00 , 16 , 0.38 
2014,Detroit Tigers,Tigers,Detroit, 5.00 , 12 , 0.42 
2014,Houston Astros,Astros,Houston, 5.00 , 14 , 0.36 
2014,Kansas City Royals,Royals,Kansas City, 6.50 , 16 , 0.41 
2014,Los Angeles Angels,Angels,Anaheim, 4.50 , 16 , 0.28 
2014,Los Angeles Dodgers,Dodgers,Los Angeles, 6.75 , 20 , 0.34 
2014,Miami Marlins,Marlins,Miami, 8.00 , 16 , 0.50 
2014,Milwaukee Brewers,Brewers,Milwaukee, 6.00 , 16 , 0.38 
2014,Minnesota Twins,Twins,Minnesota, 7.50 , 20 , 0.38 
2014,New York Mets,Mets,New York, 5.75 , 12 , 0.48 
2014,New York Yankees,Yankees,New York, 6.00 , 12 , 0.50 
2014,Oakland Athletics,Athletics,Oakland, 5.00 , 12 , 0.42 
2014,Philadelphia Phillies,Phillies,Philadelphia, 7.75 , 21 , 0.37 
2014,Pittsburgh Pirates,Pirates,Pittsburgh, 5.50 , 16 , 0.34 
2014,San Diego Padres,Padres,San Diego, 5.00 , 14 , 0.36 
2014,San Francisco Giants,Giants,San Francisco, 7.00 , 14 , 0.50 
2014,Seattle Mariners,Mariners,Seattle, 6.00 , 12 , 0.50 
2014,St. Louis Cardinals,Cardinals,St. Louis, 6.75 , 12 , 0.56 
2014,Tampa Bay Rays,Rays,Tampa, 5.00 , 12 , 0.42 
2014,Texas Rangers,Rangers,Arlington, 5.00 , 16 , 0.31 
2014,Toronto Blue Jays,Blue Jays,Toronto, 6.82 , 14 , 0.49 
2014,Washington Nationals,Nationals,Washington, 6.50 , 16 , 0.41 
2014,MLB Average,MLB Average,, 6.09 , 15 , 0.41 
2015,Arizona Diamondbacks,Diamondbacks,Arizona, 4.00 , 14 , 0.29 
2015,Atlanta Braves,Braves,Atlanta, 7.25 , 16 , 0.45 
2015,Baltimore Orioles,Orioles,Baltimore, 6.75 , 16 , 0.42 
2015,Boston Red Sox,Red Sox,Boston, 7.75 , 12 , 0.65 
2015,Chicago Cubs,Cubs,Chicago, 7.50 , 16 , 0.47 
2015,Chicago White Sox,White Sox,Chicago, 6.50 , 16 , 0.41 
2015,Cincinnati Reds,Reds,Cincinnati, 5.50 , 12 , 0.46 
2015,Cleveland Indians,Indians,Cleveland, 4.00 , 12 , 0.33 
2015,Colorado Rockies,Rockies,Colorado, 6.00 , 16 , 0.38 
2015,Detroit Tigers,Tigers,Detroit, 5.00 , 12 , 0.42 
2015,Houston Astros,Astros,Houston, 5.00 , 14 , 0.36 
2015,Kansas City Royals,Royals,Kansas City, 6.50 , 16 , 0.41 
2015,Los Angeles Angels,Angels,Anaheim, 4.50 , 16 , 0.28 
2015,Los Angeles Dodgers,Dodgers,Los Angeles, 6.75 , 20 , 0.34 
2015,Miami Marlins,Marlins,Miami, 8.00 , 16 , 0.50 
2015,Milwaukee Brewers,Brewers,Milwaukee, 6.00 , 16 , 0.38 
2015,Minnesota Twins,Twins,Minnesota, 7.50 , 20 , 0.38 
2015,New York Mets,Mets,New York, 5.75 , 12 , 0.48 
2015,New York Yankees,Yankees,New York, 6.00 , 12 , 0.50 
2015,Oakland Athletics,Athletics,Oakland, 5.00 , 12 , 0.42 
2015,Philadelphia Phillies,Phillies,Philadelphia, 7.75 , 21 , 0.37 
2015,Pittsburgh Pirates,Pirates,Pittsburgh, 5.50 , 16 , 0.34 
2015,San Diego Padres,Padres,San Diego, 5.00 , 14 , 0.36 
2015,San Francisco Giants,Giants,San Francisco, 7.00 , 14 , 0.50 
2015,Seattle Mariners,Mariners,Seattle, 6.00 , 12 , 0.50 
2015,St. Louis Cardinals,Cardinals,St. Louis, 6.75 , 12 , 0.56 
2015,Tampa Bay Rays,Rays,Tampa, 5.00 , 12 , 0.42 
2015,Texas Rangers,Rangers,Arlington, 5.00 , 16 , 0.31 
