gameorder,game_id,lg_id,_iscopy,year_id,date_game,seasongame,is_playoffs,team_id,fran_id,pts,elo_i,elo_n,win_equiv,opp_id,opp_fran,opp_pts,opp_elo_i,opp_elo_n,game_location,game_result,forecast,notes
50259,200511010PHI,NBA,0,2006,01-11-05,1,0,PHI,Sixers,108,1494.302,1477.0358,38.7131,MIL,Bucks,117,1402.6113,1419.8776,H,L,0.7509079,NULL
50266,200511020DET,NBA,1,2006,02-11-05,2,0,PHI,Sixers,88,1477.0358,1472.2407,38.212055,DET,Pistons,108,1643.3494,1648.1444,A,L,0.17755163,NULL
50482,200512020NOK,NBA,1,2006,02-12-05,17,0,PHI,Sixers,86,1475.0424,1470.9403,38.076309,NOK,Pelicans,88,1417.6758,1421.7778,A,L,0.43895167,NULL
50495,200512030SAS,NBA,1,2006,03-12-05,18,0,PHI,Sixers,91,1470.9403,1468.6321,37.835522,SAS,Spurs,100,1675.7352,1678.0435,A,L,0.14747542,NULL
50284,200511040PHI,NBA,0,2006,04-11-05,3,0,PHI,Sixers,93,1472.2407,1444.0811,35.291248,CHA,Hornets,110,1345.4025,1373.5621,H,L,0.78680712,NULL
50292,200511050IND,NBA,1,2006,05-11-05,4,0,PHI,Sixers,111,1444.0811,1453.0269,36.214211,IND,Pacers,109,1554.137,1545.1912,A,W,0.22984636,NULL
50520,200512070PHI,NBA,0,2006,07-12-05,19,0,PHI,Sixers,85,1468.6321,1459.9324,36.930103,MIL,Bucks,88,1428.8035,1437.5032,H,L,0.69102556,NULL
50322,200511090PHI,NBA,0,2006,09-11-05,5,0,PHI,Sixers,112,1453.0269,1470.4839,38.028679,DAL,Mavericks,97,1629.6799,1612.2229,H,W,0.39144301,NULL
50532,200512090PHI,NBA,0,2006,09-12-05,20,0,PHI,Sixers,119,1459.9324,1462.7787,37.225933,CHA,Hornets,115,1376.4723,1373.626,H,W,0.74194092,NULL
50544,200512100NJN,NBA,1,2006,10-12-05,21,0,PHI,Sixers,107,1462.7787,1481.4662,39.176659,NJN,Nets,95,1514.5405,1495.853,A,W,0.29450339,NULL
