GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Postseason,Season
1,04-10-07,@,Calgary Flames,3,2,W,,1,0,0,W 1,0,2007
2,06-10-07,@,Edmonton Oilers,3,5,L,,1,1,0,L 1,0,2007
3,10-10-07,@,Vancouver Canucks,8,2,W,,2,1,0,W 1,0,2007
4,13-10-07,,New York Islanders,3,1,W,,3,1,0,W 2,0,2007
5,16-10-07,,Atlanta Thrashers,4,0,W,,4,1,0,W 3,0,2007
6,18-10-07,,New Jersey Devils,4,0,W,,5,1,0,W 4,0,2007
7,20-10-07,,Carolina Hurricanes,3,2,W,OT,6,1,0,W 5,0,2007
8,24-10-07,@,Florida Panthers,3,4,L,,6,2,0,L 1,0,2007
9,25-10-07,@,Tampa Bay Lightning,2,5,L,,6,3,0,L 2,0,2007
10,27-10-07,@,Boston Bruins,2,1,W,,7,3,0,W 1,0,2007
11,01-11-07,@,Montreal Canadiens,2,5,L,,7,4,0,L 1,0,2007
12,02-11-07,@,Washington Capitals,3,2,W,,8,4,0,W 1,0,2007
13,05-11-07,@,New York Rangers,0,2,L,,8,5,0,L 1,0,2007
14,07-11-07,@,Pittsburgh Penguins,3,1,W,,9,5,0,W 1,0,2007
15,08-11-07,@,New Jersey Devils,1,4,L,,9,6,0,L 1,0,2007
16,10-11-07,,Pittsburgh Penguins,5,2,W,,10,6,0,W 1,0,2007
17,12-11-07,,New York Islanders,3,2,W,,11,6,0,W 2,0,2007
18,15-11-07,,New York Rangers,3,4,L,SO,11,6,1,L 1,0,2007
19,17-11-07,,New Jersey Devils,2,6,L,,11,7,1,L 2,0,2007
20,21-11-07,@,Carolina Hurricanes,6,3,W,,12,7,1,W 1,0,2007
21,23-11-07,,Washington Capitals,3,4,L,OT,12,7,2,L 1,0,2007
22,24-11-07,@,Ottawa Senators,4,3,W,,13,7,2,W 1,0,2007
23,26-11-07,,Boston Bruins,3,6,L,,13,8,2,L 1,0,2007
24,28-11-07,@,Carolina Hurricanes,3,1,W,,14,8,2,W 1,0,2007
25,01-12-07,,Dallas Stars,1,4,L,,14,9,2,L 1,0,2007
26,05-12-07,@,Minnesota Wild,3,1,W,,15,9,2,W 1,0,2007
27,07-12-07,@,Colorado Avalanche,1,2,L,,15,10,2,L 1,0,2007
28,11-12-07,,Pittsburgh Penguins,8,2,W,,16,10,2,W 1,0,2007
29,13-12-07,,Montreal Canadiens,1,4,L,,16,11,2,L 1,0,2007
30,15-12-07,,Carolina Hurricanes,5,6,L,SO,16,11,3,L 2,0,2007
31,16-12-07,@,New Jersey Devils,2,4,L,,16,12,3,L 3,0,2007
32,18-12-07,,Phoenix Coyotes,2,3,L,,16,13,3,L 4,0,2007
33,21-12-07,@,Buffalo Sabres,2,3,L,,16,14,3,L 5,0,2007
34,22-12-07,,Buffalo Sabres,5,6,L,SO,16,14,4,L 6,0,2007
35,27-12-07,,Toronto Maple Leafs,4,1,W,,17,14,4,W 1,0,2007
36,29-12-07,@,Tampa Bay Lightning,4,2,W,,18,14,4,W 2,0,2007
37,30-12-07,@,Florida Panthers,1,0,W,,19,14,4,W 3,0,2007
38,04-01-08,@,New Jersey Devils,0,3,L,,19,15,4,L 1,0,2007
39,05-01-08,@,Toronto Maple Leafs,3,2,W,,20,15,4,W 1,0,2007
40,08-01-08,@,Atlanta Thrashers,4,1,W,,21,15,4,W 2,0,2007
41,10-01-08,@,New York Rangers,6,2,W,,22,15,4,W 3,0,2007
42,12-01-08,,Boston Bruins,3,4,L,OT,22,15,5,L 1,0,2007
43,13-01-08,@,Washington Capitals,6,4,W,,23,15,5,W 1,0,2007
44,16-01-08,,Florida Panthers,5,3,W,,24,15,5,W 2,0,2007
45,19-01-08,@,New York Islanders,5,3,W,,25,15,5,W 3,0,2007
46,20-01-08,,Ottawa Senators,6,1,W,,26,15,5,W 4,0,2007
47,22-01-08,,New Jersey Devils,3,7,L,,26,16,5,L 1,0,2007
48,24-01-08,,Pittsburgh Penguins,4,3,W,,27,16,5,W 1,0,2007
49,29-01-08,,Los Angeles Kings,3,2,W,OT,28,16,5,W 2,0,2007
50,31-01-08,,New York Rangers,0,4,L,,28,17,5,L 1,0,2007
51,02-02-08,,Anaheim Ducks,3,0,W,,29,17,5,W 1,0,2007
52,05-02-08,@,Atlanta Thrashers,3,2,W,,30,17,5,W 2,0,2007
53,06-02-08,,Washington Capitals,3,4,L,,30,18,5,L 1,0,2007
54,09-02-08,,New York Rangers,0,2,L,,30,19,5,L 2,0,2007
55,10-02-08,@,Pittsburgh Penguins,3,4,L,,30,20,5,L 3,0,2007
56,12-02-08,@,New York Islanders,3,4,L,,30,21,5,L 4,0,2007
57,14-02-08,,Tampa Bay Lightning,3,5,L,,30,22,5,L 5,0,2007
58,16-02-08,@,Montreal Canadiens,0,1,L,,30,23,5,L 6,0,2007
59,17-02-08,,Montreal Canadiens,3,5,L,,30,24,5,L 7,0,2007
60,19-02-08,@,Ottawa Senators,2,3,L,SO,30,24,6,L 8,0,2007
61,21-02-08,,San Jose Sharks,1,3,L,,30,25,6,L 9,0,2007
62,23-02-08,,Florida Panthers,1,2,L,OT,30,25,7,L 10,0,2007
63,25-02-08,@,Buffalo Sabres,4,3,W,SO,31,25,7,W 1,0,2007
64,28-02-08,,Ottawa Senators,3,1,W,,32,25,7,W 2,0,2007
65,01-03-08,@,New York Islanders,4,1,W,,33,25,7,W 3,0,2007
66,02-03-08,@,New York Rangers,4,5,L,SO,33,25,8,L 1,0,2007
67,04-03-08,,Buffalo Sabres,2,5,L,,33,26,8,L 2,0,2007
68,06-03-08,,Tampa Bay Lightning,3,2,W,,34,26,8,W 1,0,2007
69,08-03-08,,New York Islanders,4,1,W,,35,26,8,W 2,0,2007
70,11-03-08,@,Toronto Maple Leafs,3,4,L,OT,35,26,9,L 1,0,2007
71,12-03-08,,Toronto Maple Leafs,2,3,L,,35,27,9,L 2,0,2007
72,15-03-08,@,Boston Bruins,2,3,L,OT,35,27,10,L 3,0,2007
73,16-03-08,@,Pittsburgh Penguins,1,7,L,,35,28,10,L 4,0,2007
74,18-03-08,,Atlanta Thrashers,3,2,W,,36,28,10,W 1,0,2007
75,21-03-08,,New York Rangers,4,3,W,SO,37,28,10,W 2,0,2007
76,23-03-08,,New York Islanders,4,1,W,,38,28,10,W 3,0,2007
77,25-03-08,@,New York Rangers,2,1,W,OT,39,28,10,W 4,0,2007
78,28-03-08,@,New Jersey Devils,4,5,L,SO,39,28,11,L 1,0,2007
